"","id","gloss","type","language","utterance_order","corpus_name","part_of_speech","code_tran","speaker_code","speaker_name","speaker_role","target_child_age","media_start","media_end","media_unit","collection_name","collection_id","corpus_id","speaker_id","target_child_id","transcript_id","transcript_name","speaker"
"1",923038,"I was thinking we should even if it snowed","declarative","eng",26,"Kuczaj","pro:sub aux part pro:sub mod adv conj pro:per v","CHI_4396","CHI","Abe","Target_Child",35.0664284687571,NA,NA,NA,"Eng-NA",2,46,2543,2543,4396,"Eng-NA/Kuczaj/021102.xml","CHI"
"2",928932,"if the snow could melt I would ride my bike and my truck","declarative","eng",89,"Kuczaj","conj det:art n mod v pro:sub mod v det:poss n coord det:poss n","CHI_4417","CHI","Abe","Target_Child",38.230764492084,NA,NA,NA,"Eng-NA",2,46,2543,2543,4417,"Eng-NA/Kuczaj/030207.xml","CHI"
"3",930676,"people could fit in it if it don't has holes","declarative","eng",302,"Kuczaj","n mod part prep pro:per conj pro:per mod aux n","CHI_4416","CHI","Abe","Target_Child",38.1650547239163,NA,NA,NA,"Eng-NA",2,46,2543,2543,4416,"Eng-NA/Kuczaj/030205.xml","CHI"
"4",931238,"if you get tired uh if you're through paddling you could fish with this net","declarative","eng",99,"Kuczaj","conj pro:per v part conj pro:per adj part pro:per mod v prep det:dem n","CHI_4421","CHI","Abe","Target_Child",38.8550072896774,NA,NA,NA,"Eng-NA",2,46,2543,2543,4421,"Eng-NA/Kuczaj/030226.xml","CHI"
"5",931461,"okay I'll show you what happens if the bed could get brokened","declarative","eng",336,"Kuczaj","co pro:sub v pro:per pro:int v comp det:art n mod aux part","CHI_4417","CHI","Abe","Target_Child",38.230764492084,NA,NA,NA,"Eng-NA",2,46,2543,2543,4417,"Eng-NA/Kuczaj/030207.xml","CHI"
"6",932327,"I could send uh if I chop it down I could have a_lot_of things","declarative","eng",133,"Kuczaj","conj pro:sub v pro:per adv pro:sub mod v qn n","CHI_4419","CHI","Abe","Target_Child",38.5921682170065,NA,NA,NA,"Eng-NA",2,46,2543,2543,4419,"Eng-NA/Kuczaj/030218.xml","CHI"
"7",932362,"if he's hungry he could eat these","declarative","eng",198,"Kuczaj","conj pro:sub adj pro:sub mod v det:dem","CHI_4421","CHI","Abe","Target_Child",38.8550072896774,NA,NA,NA,"Eng-NA",2,46,2543,2543,4421,"Eng-NA/Kuczaj/030226.xml","CHI"
"8",932382,"if he's hungry he could eat these pies too","declarative","eng",200,"Kuczaj","conj pro:sub adj pro:sub mod v det:dem n post","CHI_4421","CHI","Abe","Target_Child",38.8550072896774,NA,NA,NA,"Eng-NA",2,46,2543,2543,4421,"Eng-NA/Kuczaj/030226.xml","CHI"
"9",933741,"you could have this ball and see if it could go through the tunnel","declarative","eng",57,"Kuczaj","pro:per mod v det:dem n coord v conj pro:per mod v adj det:art n","CHI_4430","CHI","Abe","Target_Child",39.9207375921477,NA,NA,NA,"Eng-NA",2,46,2543,2543,4430,"Eng-NA/Kuczaj/030328.xml","CHI"
"10",934022,"okay Daddy see if you could throw one of these dinosaurs in two of them","declarative","eng",77,"Kuczaj","co n:prop v conj pro:per mod v det:num prep det:dem n prep det:num prep pro:obj","CHI_4430","CHI","Abe","Target_Child",39.9207375921477,NA,NA,NA,"Eng-NA",2,46,2543,2543,4430,"Eng-NA/Kuczaj/030328.xml","CHI"
